Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame	Comments
CSF1R	0	MSKCC-DMP	P-0017692-T01-IM6	CSF1R-intragenic	yes	unknown		unknown	CSF1R (NM_005211) rearrangement: c.2491_c.*2654del Note: The CSF1R rearrangement is a deletion of exons 19-21. One of the breakpoints is within exon 19.
ERG	0	MSKCC-DMP	P-0017708-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) - ERG (NM_004449) fusion (TMPRSS2 exon 1 fused with ERG exons 4-11): c.56-4676:TMPRSS2_c.40-56300:ERGdel Note: TMPRSS2 is fused with non-canonical ERG  transcript.
TMPRSS2	0	MSKCC-DMP	P-0017708-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) - ERG (NM_004449) fusion (TMPRSS2 exon 1 fused with ERG exons 4-11): c.56-4676:TMPRSS2_c.40-56300:ERGdel Note: TMPRSS2 is fused with non-canonical ERG  transcript.
SPIN4	0	MSKCC-DMP	P-0017711-T01-IM6	NTRK3-SPIN4 fusion	yes	unknown		unknown	NTRK3 (NM_001012338) rearrangement: t(X;15)(q11.1;q25.3)(chrX:g.62147342::chr15:g.88678407) Note: The NTRK3 rearrangement is a translocation that may result in the truncation of exons 10-20, which include the kinase domain. One of the breakpoints is within exon 10. The functional significance is undetermined.
NTRK3	0	MSKCC-DMP	P-0017711-T01-IM6	NTRK3-SPIN4 fusion	yes	unknown		unknown	NTRK3 (NM_001012338) rearrangement: t(X;15)(q11.1;q25.3)(chrX:g.62147342::chr15:g.88678407) Note: The NTRK3 rearrangement is a translocation that may result in the truncation of exons 10-20, which include the kinase domain. One of the breakpoints is within exon 10. The functional significance is undetermined.
AGO2	0	MSKCC-DMP	P-0017715-T01-IM6	AGO2-intragenic	yes	unknown		unknown	AGO2 (NM_012154) rearrangement: c.655+304_c.816del Note: The AGO2 rearrangement is an intragenic deletion of exons 6-7. One of the breakpoints is within exon 7.
RET	0	MSKCC-DMP	P-0017716-T01-IM6	TIMM23B-RET fusion	yes	unknown		out of frame	NCOA4 (NM_001145260) - RET (NM_020975) fusion (NCOA4 exons 1-7 fused with RET exons 12-20): c.618+42:NCOA4_c.2137-860:RETdup Note: The NCOA4 - RET fusion includes the kinase domain of RET.
TIMM23B	0	MSKCC-DMP	P-0017716-T01-IM6	TIMM23B-RET fusion	yes	unknown		out of frame	NCOA4 (NM_001145260) - RET (NM_020975) fusion (NCOA4 exons 1-7 fused with RET exons 12-20): c.618+42:NCOA4_c.2137-860:RETdup Note: The NCOA4 - RET fusion includes the kinase domain of RET.
CREBBP	0	MSKCC-DMP	P-0017718-T01-IM6	LRRC10-CREBBP fusion	yes	unknown		unknown	CREBBP (NM_004380) rearrangement: t(12;16)(q15;p13.3)(chr12:g.70017642::chr16:g.3777792) Note: The CREBBP rearrangement is a translocation that may result in the truncation of exon 31. One of the breakpoints is within exon 31. The functional significance is undetermined.
LRRC10	0	MSKCC-DMP	P-0017718-T01-IM6	LRRC10-CREBBP fusion	yes	unknown		unknown	CREBBP (NM_004380) rearrangement: t(12;16)(q15;p13.3)(chr12:g.70017642::chr16:g.3777792) Note: The CREBBP rearrangement is a translocation that may result in the truncation of exon 31. One of the breakpoints is within exon 31. The functional significance is undetermined.
RARA	0	MSKCC-DMP	P-0017718-T01-IM6	TERT-RARA fusion	yes	unknown		unknown	TERT (NM_198253) rearrangement: t(5;17)(p15.33;q21.2)(chr5:g.1295225::chr17:g.38475855) Note: The TERT rearrangement is a translocation with a breakpoint in the TERT promoter region. The functional significance is undetermined.
TERT	0	MSKCC-DMP	P-0017718-T01-IM6	TERT-RARA fusion	yes	unknown		unknown	TERT (NM_198253) rearrangement: t(5;17)(p15.33;q21.2)(chr5:g.1295225::chr17:g.38475855) Note: The TERT rearrangement is a translocation with a breakpoint in the TERT promoter region. The functional significance is undetermined.
IRS2	0	MSKCC-DMP	P-0017723-T01-IM6	CADM2-IRS2 fusion	yes	unknown		unknown	IRS2 (NM_003749) - CADM2  (NM_001167674) rearrangement: t(3;13)(p12.1;q34)(chr3:g.86035837::chr13:g.110436835) Note: The IRS2 - CADM2 rearrangement is a translocation that may result in the fusion of IRS2 exon 1 with CADM2 exons 8-10. One of the breakpoints is within IRS2 exon 1. The functional significance is undetermined.
CADM2	0	MSKCC-DMP	P-0017723-T01-IM6	CADM2-IRS2 fusion	yes	unknown		unknown	IRS2 (NM_003749) - CADM2  (NM_001167674) rearrangement: t(3;13)(p12.1;q34)(chr3:g.86035837::chr13:g.110436835) Note: The IRS2 - CADM2 rearrangement is a translocation that may result in the fusion of IRS2 exon 1 with CADM2 exons 8-10. One of the breakpoints is within IRS2 exon 1. The functional significance is undetermined.
LINC01518	0	MSKCC-DMP	P-0017724-T01-IM6	RET-LINC01518 fusion	yes	unknown		unknown	RET (NM_020975) rearrangement : g.43149839_c.1264-2:RETdel Note: The RET rearrangement results in the deletion of exons 1-7. The functional significance is undetermined.
RET	0	MSKCC-DMP	P-0017724-T01-IM6	RET-LINC01518 fusion	yes	unknown		unknown	RET (NM_020975) rearrangement : g.43149839_c.1264-2:RETdel Note: The RET rearrangement results in the deletion of exons 1-7. The functional significance is undetermined.
FYN	0	MSKCC-DMP	P-0017724-T01-IM6	LINC01107-FYN fusion	yes	unknown		unknown	FYN (NM_153047) rearrangement: t(2;6)(q37.3;q21)(chr2:g.239377558::chr6:g.112024156) Note: The FYN rearrangement is a translocation that may result in the truncation of exons 1-5. One of the breakpoints is within exon 5. The functional significance is undetermined.
LINC01107	0	MSKCC-DMP	P-0017724-T01-IM6	LINC01107-FYN fusion	yes	unknown		unknown	FYN (NM_153047) rearrangement: t(2;6)(q37.3;q21)(chr2:g.239377558::chr6:g.112024156) Note: The FYN rearrangement is a translocation that may result in the truncation of exons 1-5. One of the breakpoints is within exon 5. The functional significance is undetermined.
ERG	0	MSKCC-DMP	P-0017730-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) fusion (TMPRRS2 exon 1 fused to ERG exons 2-10): c.56-4466:TMPRSS2_c.19-8247:ERGdel
TMPRSS2	0	MSKCC-DMP	P-0017730-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) fusion (TMPRRS2 exon 1 fused to ERG exons 2-10): c.56-4466:TMPRSS2_c.19-8247:ERGdel
BRCA2	0	MSKCC-DMP	P-0017744-T01-IM6	BRCA2-intragenic	yes	unknown		unknown	BRCA2 (NM_000059) Rearrangement : c.316+811_c.426-1del Note: The BRCA2 Rearrangement results in the deletion of exons  4-5 of BRCA2. Its functional significance is undetermined.
MGA	0	MSKCC-DMP	P-0017760-T01-IM6	MGA-intragenic	yes	unknown		unknown	MGA (NM_001164273) Rearrangement : c.7744+1111_c.8913del Note: The MGA Rearrangement results in the intragenic deletion of exon 23-24. One of the breakpoint is within exon24. Its functional significance is undetermined.
SOX9	0	MSKCC-DMP	P-0017760-T01-IM6	SOX9-intragenic	yes	unknown		unknown	SOX9 (NM_000346) Rearrangement : c.1200_chr17:g.70140019del Note: The SOX9 Rearrangement results in the partial intragenic deletion of exon3 of SOX9. One of the breakpoints is within exon3. Its functional significance is undetermined.
DIS3	0	MSKCC-DMP	P-0017769-T01-IM6	LINC00377-DIS3 fusion	yes	unknown		unknown	DIS3 (NM_014953) Rearrangement : c.654:DIS3_chr13:g.81632702inv Note: The DIS3 Rearrangement results in the inversion of exons 1-4 of DIS3. One of the breakpoints is within exon4. Its functional significance is undetermined.
LINC00377	0	MSKCC-DMP	P-0017769-T01-IM6	LINC00377-DIS3 fusion	yes	unknown		unknown	DIS3 (NM_014953) Rearrangement : c.654:DIS3_chr13:g.81632702inv Note: The DIS3 Rearrangement results in the inversion of exons 1-4 of DIS3. One of the breakpoints is within exon4. Its functional significance is undetermined.
LINC00114	0	MSKCC-DMP	P-0017774-T01-IM6	TMPRSS2-LINC00114 fusion	yes	unknown		unknown	TMPRSS2 (NM_001135099) Rearrangement : chr21:g.40091030_c.55+4035:TMPRSS2del Note: The TMPRSS2 Rearrangement results in the deletion of exons3-14.This is not the canonical TMPRSS2-ERG Fusion, however the possibility of a fusion event not detected by IMPACT cannot be ruled out. Its functional significance is undetermined.
TMPRSS2	0	MSKCC-DMP	P-0017774-T01-IM6	TMPRSS2-LINC00114 fusion	yes	unknown		unknown	TMPRSS2 (NM_001135099) Rearrangement : chr21:g.40091030_c.55+4035:TMPRSS2del Note: The TMPRSS2 Rearrangement results in the deletion of exons3-14.This is not the canonical TMPRSS2-ERG Fusion, however the possibility of a fusion event not detected by IMPACT cannot be ruled out. Its functional significance is undetermined.
APC	0	MSKCC-DMP	P-0017807-T01-IM6	APC-intragenic	yes	unknown		unknown	APC (NM_000038) Rearrangement: c.3925_c.*4057del Note: APC rearrangement is a deletion which leads to the partial deletion of exon 16, potentially leading to a truncated protein.
GRIN2A	0	MSKCC-DMP	P-0017817-T01-IM6	GRIN2A-intragenic	yes	unknown		unknown	GRIN2A (NM_001134407) rearrangement: c.3436_c.4030del Note: The GRIN2A rearrangement is a deletion (594 bp) within exon 13. The functional significance is undetermined.
EGFR	0	MSKCC-DMP	P-0017827-T01-IM6	ELDR-EGFR fusion	yes	unknown		unknown	EGFR (NM_005228) rearrangement: c.3028:EGFR_chr7:g.55336682del Note: The EGFR rearrangement is a deletion of exons 25-28. One of the breakpoints is within exon 25. Similar EGFR C terminus deletions have been described in the literature and possess oncogenic properties that may be sensitive to anti-EGFR therapies (PMID: 22001862)
ELDR	0	MSKCC-DMP	P-0017827-T01-IM6	ELDR-EGFR fusion	yes	unknown		unknown	EGFR (NM_005228) rearrangement: c.3028:EGFR_chr7:g.55336682del Note: The EGFR rearrangement is a deletion of exons 25-28. One of the breakpoints is within exon 25. Similar EGFR C terminus deletions have been described in the literature and possess oncogenic properties that may be sensitive to anti-EGFR therapies (PMID: 22001862)
IRX6	0	MSKCC-DMP	P-0017831-T01-IM6	FGFR2-IRX6 fusion	yes	unknown		unknown	FGFR2 (NM_000141) rearrangement: t(10;16)(q26.13;q12.2)(chr10:g.123241224::chr16:g.55238062) Note: The FGFR2 rearrangement is a translocation that may result in the truncation of FGFR2 exon 18. The functional significance is undetermined.
FGFR2	0	MSKCC-DMP	P-0017831-T01-IM6	FGFR2-IRX6 fusion	yes	unknown		unknown	FGFR2 (NM_000141) rearrangement: t(10;16)(q26.13;q12.2)(chr10:g.123241224::chr16:g.55238062) Note: The FGFR2 rearrangement is a translocation that may result in the truncation of FGFR2 exon 18. The functional significance is undetermined.
TNNI1	0	MSKCC-DMP	P-0017846-T01-IM6	IL10-TNNI1 fusion	yes	unknown		unknown	IL10 (NM_000572) Rearrangement : chr1:g.201374280_c.378+39:IL10del Note: The IL10 Rearrangement results in the deletion of exons 4-5 of IL10. Its functional significance is undetermined.
IL10	0	MSKCC-DMP	P-0017846-T01-IM6	IL10-TNNI1 fusion	yes	unknown		unknown	IL10 (NM_000572) Rearrangement : chr1:g.201374280_c.378+39:IL10del Note: The IL10 Rearrangement results in the deletion of exons 4-5 of IL10. Its functional significance is undetermined.
SLC39A10	0	MSKCC-DMP	P-0017846-T01-IM6	SF3B1-SLC39A10 fusion	yes	unknown		unknown	SF3B1 (NM_012433) Rearrangement : chr2:g.196301398_c.442:SF3B1inv Note: The SF3B1 Rearrangement results in the inversion of exons 5-25 of SF3B1. The breakpoint in SF3B1 is within exon5.Its functional significance is undetermined.
SF3B1	0	MSKCC-DMP	P-0017846-T01-IM6	SF3B1-SLC39A10 fusion	yes	unknown		unknown	SF3B1 (NM_012433) Rearrangement : chr2:g.196301398_c.442:SF3B1inv Note: The SF3B1 Rearrangement results in the inversion of exons 5-25 of SF3B1. The breakpoint in SF3B1 is within exon5.Its functional significance is undetermined.
MAX	0	MSKCC-DMP	P-0017859-T01-IM6	MAX-intragenic	yes	unknown		unknown	MAX (NM_002382) rearrangement: c.*3102_c.296-91del Note: The MAX rearrangement results in the deletion of exon 5. The functional significance is undetermined.
MAPK4	0	MSKCC-DMP	P-0017882-T01-IM6	PARK2-MAPK4 fusion	yes	unknown		unknown	PARK2 (NM_004562) rearrangement: t(6;18)(q26;q21.2)(chr6:g.162170030::chr18:g.48058391) Note: The PARK2 rearrangement is a translocation that may result in a truncation of exons 8-12. The functional significance is undetermined.
PARK2	0	MSKCC-DMP	P-0017882-T01-IM6	PARK2-MAPK4 fusion	yes	unknown		unknown	PARK2 (NM_004562) rearrangement: t(6;18)(q26;q21.2)(chr6:g.162170030::chr18:g.48058391) Note: The PARK2 rearrangement is a translocation that may result in a truncation of exons 8-12. The functional significance is undetermined.
TMPRSS2	0	MSKCC-DMP	P-0017882-T01-IM6	CHD3-TMPRSS2 fusion	yes	unknown		unknown	TMPRSS2 (NM_001135099) rearrangement: t(17;21)(p13.1;q22.3)(chr17:g.7790479::chr21:g.42870483) Note: The TMPRSS2 rearrangement is a translocation that may result in a truncation of exons 2-14. The functional significance is undetermined.
CHD3	0	MSKCC-DMP	P-0017882-T01-IM6	CHD3-TMPRSS2 fusion	yes	unknown		unknown	TMPRSS2 (NM_001135099) rearrangement: t(17;21)(p13.1;q22.3)(chr17:g.7790479::chr21:g.42870483) Note: The TMPRSS2 rearrangement is a translocation that may result in a truncation of exons 2-14. The functional significance is undetermined.
HDAC9	0	MSKCC-DMP	P-0017882-T01-IM6	XPO1-HDAC9 fusion	yes	unknown		out of frame	HDAC9 (NM_178425) - XPO1 (NM_003400) rearrangement: t(2;7)(p15;p21.2)(chr2:g.61721253::chr7:g.18926552) Note: The HDAC9 - XPO1 rearrangement is a translocation that may result in the fusion of HDAC9 exons 1-21 with XPO1 exons 12-25. The functional significance is undetermined.
XPO1	0	MSKCC-DMP	P-0017882-T01-IM6	XPO1-HDAC9 fusion	yes	unknown		out of frame	HDAC9 (NM_178425) - XPO1 (NM_003400) rearrangement: t(2;7)(p15;p21.2)(chr2:g.61721253::chr7:g.18926552) Note: The HDAC9 - XPO1 rearrangement is a translocation that may result in the fusion of HDAC9 exons 1-21 with XPO1 exons 12-25. The functional significance is undetermined.
PTK2B	0	MSKCC-DMP	P-0017892-T01-IM6	RECQL4-PTK2B fusion	yes	unknown		unknown	RECQL4 (NM_004260) Rearrangement : c.-1259:PTK2B_c.1132-19:RECQL4 Note: The RECQL4 Rearrangement results in the deletion of exons 6-21 of RECQL4. Its functional significance is undetermined.
RECQL4	0	MSKCC-DMP	P-0017892-T01-IM6	RECQL4-PTK2B fusion	yes	unknown		unknown	RECQL4 (NM_004260) Rearrangement : c.-1259:PTK2B_c.1132-19:RECQL4 Note: The RECQL4 Rearrangement results in the deletion of exons 6-21 of RECQL4. Its functional significance is undetermined.
LINC01500	0	MSKCC-DMP	P-0017899-T01-IM6	APC-LINC01500 fusion	yes	unknown		unknown	APC (NM_000038) Rearrangement: t(5;14)(q22.1;q23.1)(chr5:g.112174171::chr14:g.59220719) Note: The APC Rearrangement results in the possible truncation of APC. One of the breakpoints is within exon16 of APC.Its functional significance is undetermined.
APC	0	MSKCC-DMP	P-0017899-T01-IM6	APC-LINC01500 fusion	yes	unknown		unknown	APC (NM_000038) Rearrangement: t(5;14)(q22.1;q23.1)(chr5:g.112174171::chr14:g.59220719) Note: The APC Rearrangement results in the possible truncation of APC. One of the breakpoints is within exon16 of APC.Its functional significance is undetermined.
BRD4	0	MSKCC-DMP	P-0017913-T01-IM6	BRD4-intragenic	yes	unknown		unknown	BRD4 (NM_058243) rearrangement: c.*2094_c.3576+51del Note: The BRD4 rearrangement results in the deletion of exons 18-20. The functional significance is undetermined.
ZRSR2	0	MSKCC-DMP	P-0017917-T01-IM6	RAB3IP-ZRSR2 fusion	yes	unknown		unknown	ZRSR2 (NM_005089) rearrangement: t(12;X)(q15;p22.2)(chr12:g.70367195::chrX:g.15841299) Note: The ZRSR2 rearrangement is a translocation that may result in the truncation of exon 11. One of the breakpoints is within exon 11. The functional significance is undetermined.
RAB3IP	0	MSKCC-DMP	P-0017917-T01-IM6	RAB3IP-ZRSR2 fusion	yes	unknown		unknown	ZRSR2 (NM_005089) rearrangement: t(12;X)(q15;p22.2)(chr12:g.70367195::chrX:g.15841299) Note: The ZRSR2 rearrangement is a translocation that may result in the truncation of exon 11. One of the breakpoints is within exon 11. The functional significance is undetermined.
ZRSR2	0	MSKCC-DMP	P-0017917-T01-IM6	ZRSR2-intragenic	yes	unknown		unknown	ZRSR2 (NM_005089) rearrangement : c.828_c.*1222inv Note: The ZRSR2 rearrangement results in an inversion of exons 4-10 . One of the breakpoints is within exon 10. The functional significance is undetermined.
KIF5B	0	MSKCC-DMP	P-0017924-T01-IM6	ALK-KIF5B fusion	yes	unknown		in frame	KIF5B (NM_004521) - ALK (NM_004304) fusion: t(2;10)(p23.2;p11.22)(chr2:g.29447945::chr10:g.32305310) Note: The KIF5B - ALK fusion is predicted to be in frame and includes the kinase domain of ALK.
ALK	0	MSKCC-DMP	P-0017924-T01-IM6	ALK-KIF5B fusion	yes	unknown		in frame	KIF5B (NM_004521) - ALK (NM_004304) fusion: t(2;10)(p23.2;p11.22)(chr2:g.29447945::chr10:g.32305310) Note: The KIF5B - ALK fusion is predicted to be in frame and includes the kinase domain of ALK.
KMT2D	0	MSKCC-DMP	P-0017932-T01-IM6	TUBA1C-KMT2D fusion	yes	unknown		unknown	KMT2D (NM_003482) rearrangement: c.16368:KMT2D_chr12:g.49628359del Note: The KMT2D rearrangement is a deletion which includes exons 52-54. One of the breakpoints is within KMT2D exon 54. The functional significance is undetermined.
TUBA1C	0	MSKCC-DMP	P-0017932-T01-IM6	TUBA1C-KMT2D fusion	yes	unknown		unknown	KMT2D (NM_003482) rearrangement: c.16368:KMT2D_chr12:g.49628359del Note: The KMT2D rearrangement is a deletion which includes exons 52-54. One of the breakpoints is within KMT2D exon 54. The functional significance is undetermined.
ZFHX3	0	MSKCC-DMP	P-0017932-T01-IM6	ZFHX3-intragenic	yes	unknown		unknown	ZFHX3 (NM_006885) rearrangement: c.3865-625_c.10608del Note: The ZFHX3 rearrangement is an intragenic deletion of exons 8-10. One of the breakpoints is within exon 10. The functional significance is undetermined.
ALK	0	MSKCC-DMP	P-0017978-T01-IM6	EML4-ALK fusion	yes	unknown		in frame	EML4 (NM_019063) - ALK (NM_004304) fusion (EML4 exons 1-6 fused to ALK exons 20-29): c.667+7306:EML4_c.3173-215:ALKinv Note: The EML4 - ALK fusion is predicted to be in frame and includes the kinase domain of ALK.
EML4	0	MSKCC-DMP	P-0017978-T01-IM6	EML4-ALK fusion	yes	unknown		in frame	EML4 (NM_019063) - ALK (NM_004304) fusion (EML4 exons 1-6 fused to ALK exons 20-29): c.667+7306:EML4_c.3173-215:ALKinv Note: The EML4 - ALK fusion is predicted to be in frame and includes the kinase domain of ALK.
TMPRSS2	0	MSKCC-DMP	P-0017987-T01-IM6	C1orf112-TMPRSS2 fusion	yes	unknown		out of frame	C1orf112 (NM_018186) - TMPRSS2 (NM_001135099) rearrangement: t(1;21)(q24.2;q22.3)(chr1:g.169817552::chr21:g.42871817) Note: The C1orf112 - TMPRSS2 rearrangement is a translocation which results in the fusion of C1orf112 exon 20 to TMPRSS2 exon 2. The functional significance is undetermined.
C1orf112	0	MSKCC-DMP	P-0017987-T01-IM6	C1orf112-TMPRSS2 fusion	yes	unknown		out of frame	C1orf112 (NM_018186) - TMPRSS2 (NM_001135099) rearrangement: t(1;21)(q24.2;q22.3)(chr1:g.169817552::chr21:g.42871817) Note: The C1orf112 - TMPRSS2 rearrangement is a translocation which results in the fusion of C1orf112 exon 20 to TMPRSS2 exon 2. The functional significance is undetermined.
SLC25A21	0	MSKCC-DMP	P-0017989-T01-IM6	FOXA1-SLC25A21 fusion	yes	unknown		unknown	SLC25A21 (NM_030631) - FOXA1 (NM_00449) rearrangement: c.71-139753:SLC25A21_c.320:FOXA1dup Note: The SLC25A21 - FOXA1 rearrangement is a duplication which results in the fusion of SLC25A21 exon 1 to FOXA1 exon 2. One of the breakpoints is within FOXA1 exon 2. The functional significance is undetermined.
FOXA1	0	MSKCC-DMP	P-0017989-T01-IM6	FOXA1-SLC25A21 fusion	yes	unknown		unknown	SLC25A21 (NM_030631) - FOXA1 (NM_00449) rearrangement: c.71-139753:SLC25A21_c.320:FOXA1dup Note: The SLC25A21 - FOXA1 rearrangement is a duplication which results in the fusion of SLC25A21 exon 1 to FOXA1 exon 2. One of the breakpoints is within FOXA1 exon 2. The functional significance is undetermined.
ARID1A	0	MSKCC-DMP	P-0017990-T01-IM6	FOXO6-ARID1A fusion	yes	unknown		unknown	ARID1A (NM_006015) rearrangement: c.6377:ARID1A_chr1:g.41724708inv Note: The ARID1A rearrangement is an inversion (14617942 bp) which includes exon 20. One of the breakpoints is within  ARID1A exon 20. The functional significance is undetermined.
FOXO6	0	MSKCC-DMP	P-0017990-T01-IM6	FOXO6-ARID1A fusion	yes	unknown		unknown	ARID1A (NM_006015) rearrangement: c.6377:ARID1A_chr1:g.41724708inv Note: The ARID1A rearrangement is an inversion (14617942 bp) which includes exon 20. One of the breakpoints is within  ARID1A exon 20. The functional significance is undetermined.
TMPRSS2	0	MSKCC-DMP	P-0018003-T01-IM6	LSS-TMPRSS2 fusion	yes	unknown		unknown	TMPRSS2 (NM_001135099) - LSS (NM_001001438) rearrangement: c.56-147:TMPRSS2_c.1951:LSSdup Note: The TMPRSS2 - LSS rearrangement is a duplication that may result in TMPRSS2 exon 1 fused with LSS exons 19-22. The functional significance is undetermined.
LSS	0	MSKCC-DMP	P-0018003-T01-IM6	LSS-TMPRSS2 fusion	yes	unknown		unknown	TMPRSS2 (NM_001135099) - LSS (NM_001001438) rearrangement: c.56-147:TMPRSS2_c.1951:LSSdup Note: The TMPRSS2 - LSS rearrangement is a duplication that may result in TMPRSS2 exon 1 fused with LSS exons 19-22. The functional significance is undetermined.
ERBB2	0	MSKCC-DMP	P-0018007-T01-IM6	GRB7-ERBB2 fusion	yes	unknown		unknown	ERBB2 (NM_004448) rearrangement: c.3412+62:ERBB2_chr17:g.37891043del Note: The ERBB2 rearrangement is a deletion of exon 27.
GRB7	0	MSKCC-DMP	P-0018007-T01-IM6	GRB7-ERBB2 fusion	yes	unknown		unknown	ERBB2 (NM_004448) rearrangement: c.3412+62:ERBB2_chr17:g.37891043del Note: The ERBB2 rearrangement is a deletion of exon 27.
EIF3G	0	MSKCC-DMP	P-0018016-T01-IM6	DNMT1-EIF3G fusion	yes	unknown		unknown	DNMT1 (NM_001379) - EIF3G (NM_003755) rearrangement: c.376:DNMT1_c.596-198del Note: The DNMT1 - EIF3G rearrangement is a deletion which results in the fusion of DNMT1 exon 4 to EIF3G exon 8. One of the breakpoints is within exon 4 of DNMT1. The functional significance is undetermined.
DNMT1	0	MSKCC-DMP	P-0018016-T01-IM6	DNMT1-EIF3G fusion	yes	unknown		unknown	DNMT1 (NM_001379) - EIF3G (NM_003755) rearrangement: c.376:DNMT1_c.596-198del Note: The DNMT1 - EIF3G rearrangement is a deletion which results in the fusion of DNMT1 exon 4 to EIF3G exon 8. One of the breakpoints is within exon 4 of DNMT1. The functional significance is undetermined.
GNG7	0	MSKCC-DMP	P-0018030-T01-IM6	SMARCA4-GNG7 fusion	yes	unknown		unknown	SMARCA4 (NM_003072) rearrangement: c.chr19:g.25566206_c.936inv Note: The SMARCA4 (NM_003072) rearrangement results in an inversion of exons 1-6 of SMARCA4. One of the breakpoints is within exon6 of SMARCA4. The functional significance is undetermined.
SMARCA4	0	MSKCC-DMP	P-0018030-T01-IM6	SMARCA4-GNG7 fusion	yes	unknown		unknown	SMARCA4 (NM_003072) rearrangement: c.chr19:g.25566206_c.936inv Note: The SMARCA4 (NM_003072) rearrangement results in an inversion of exons 1-6 of SMARCA4. One of the breakpoints is within exon6 of SMARCA4. The functional significance is undetermined.
ERG	0	MSKCC-DMP	P-0018038-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) Fusion : c.56-3057:TMPRSS2_c.18+11021:ERGdel
TMPRSS2	0	MSKCC-DMP	P-0018038-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		out of frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) Fusion : c.56-3057:TMPRSS2_c.18+11021:ERGdel
KIF5B	0	MSKCC-DMP	P-0018069-T01-IM6	RET-KIF5B fusion	yes	unknown		out of frame	RET (NM_020975) - KIF5B (NM_004521) rearrangement: c.1648+160:RET_c.1915-72:KIF5Binv Note: The RET - KIF5B rearrangement is an inversion that results in the fusion of RET exons 1-8 with KIF5B exons 17-25. This rearrangement was detected in the background of other RET structural variants.
RET	0	MSKCC-DMP	P-0018069-T01-IM6	RET-KIF5B fusion	yes	unknown		out of frame	RET (NM_020975) - KIF5B (NM_004521) rearrangement: c.1648+160:RET_c.1915-72:KIF5Binv Note: The RET - KIF5B rearrangement is an inversion that results in the fusion of RET exons 1-8 with KIF5B exons 17-25. This rearrangement was detected in the background of other RET structural variants.
TFG	0	MSKCC-DMP	P-0018082-T01-IM6	NTRK1-TFG fusion	yes	unknown		in frame	TFG (NM_001195478) - NTRK1 (NM_002529) fusion (TFG exons 1-4 fused with NTRK1 exons 9-17): t(1;3)(q23.1;q12.2)(chr1:g.156843796::chr3:g.100450466) Note: The TFG - NTRK1 fusion is predicted to be in-frame and includes the kinase domain of NTRK1.
NTRK1	0	MSKCC-DMP	P-0018082-T01-IM6	NTRK1-TFG fusion	yes	unknown		in frame	TFG (NM_001195478) - NTRK1 (NM_002529) fusion (TFG exons 1-4 fused with NTRK1 exons 9-17): t(1;3)(q23.1;q12.2)(chr1:g.156843796::chr3:g.100450466) Note: The TFG - NTRK1 fusion is predicted to be in-frame and includes the kinase domain of NTRK1.
ERG	0	MSKCC-DMP	P-0018086-T01-IM6	METTL22-ERG fusion	yes	unknown		unknown	ERG (NM_182918) rearrangement: t(16;21)(p13.2;q22.2)(chr16:g.8690703::chr21:g.39817374) Note: The ERG rearrangement is a translocation that may result in the truncation of exons 2-10. One of the breakpoints is within exon 2. The functional significance is undetermined.
METTL22	0	MSKCC-DMP	P-0018086-T01-IM6	METTL22-ERG fusion	yes	unknown		unknown	ERG (NM_182918) rearrangement: t(16;21)(p13.2;q22.2)(chr16:g.8690703::chr21:g.39817374) Note: The ERG rearrangement is a translocation that may result in the truncation of exons 2-10. One of the breakpoints is within exon 2. The functional significance is undetermined.
ERG	0	MSKCC-DMP	P-0018090-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) fusion (TMPRRS2 exons 1-2 fused to ERG exons 2-10):c.127-620:TMPRSS2_c.19-2241:ERGdel
TMPRSS2	0	MSKCC-DMP	P-0018090-T01-IM6	TMPRSS2-ERG fusion	yes	unknown		in frame	TMPRSS2 (NM_001135099) - ERG (NM_182918) fusion (TMPRRS2 exons 1-2 fused to ERG exons 2-10):c.127-620:TMPRSS2_c.19-2241:ERGdel
DGKH	0	MSKCC-DMP	P-0018108-T02-IM6	FH-DGKH fusion	yes	unknown		unknown	FH (NM_000143) rearrangement: t(1;13)(q43;q14.11)(chr1:g.241667340::chr13:g.42830153) Note: The FH rearrangement is a translocation that may result in a truncation of exons 8-10. The functional significance is undetermined.
FH	0	MSKCC-DMP	P-0018108-T02-IM6	FH-DGKH fusion	yes	unknown		unknown	FH (NM_000143) rearrangement: t(1;13)(q43;q14.11)(chr1:g.241667340::chr13:g.42830153) Note: The FH rearrangement is a translocation that may result in a truncation of exons 8-10. The functional significance is undetermined.
